"type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","year","month","month_name","weekday","weekday_name","hour"
"Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2683236,1249583,2020,1,"January",3,"Wednesday","04h-05h"
"Accident involving pedestrian(s)","Light injuries",TRUE,FALSE,FALSE,"Minor road",2682964,1248220,2020,1,"January",3,"Wednesday","05h-06h"
"Overtaking or changing lanes","Property damage",FALSE,TRUE,FALSE,"Minor road",2682811,1247444,2020,1,"January",3,"Wednesday","05h-06h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679166,1248512,2020,1,"January",3,"Wednesday","12h-13h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682395,1248019,2020,1,"January",3,"Wednesday","14h-15h"
"Overtaking or changing lanes","Light injuries",FALSE,TRUE,FALSE,"Principal road",2682015,1247207,2020,1,"January",3,"Wednesday","22h-23h"
"Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Principal road",2681515,1247181,2020,1,"January",4,"Thursday","07h-08h"
"Accident involving animal(s)","Property damage",FALSE,FALSE,FALSE,"Minor road",2685345,1247919,2020,1,"January",4,"Thursday","09h-10h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2683852,1247189,2020,1,"January",4,"Thursday","17h-18h"
"Accident involving animal(s)","Property damage",FALSE,FALSE,FALSE,"Motorway",2682388,1242752,2020,1,"January",4,"Thursday","17h-18h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681464,1243157,2020,1,"January",5,"Friday","00h-01h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681758,1250378,2020,1,"January",5,"Friday","10h-11h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2684847,1244905,2020,1,"January",5,"Friday","10h-11h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679744,1251197,2020,1,"January",5,"Friday","12h-13h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2680556,1252485,2020,1,"January",5,"Friday","13h-14h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681151,1247832,2020,1,"January",5,"Friday","17h-18h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2682342,1247008,2020,1,"January",5,"Friday","18h-19h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2684835,1246786,2020,1,"January",5,"Friday","19h-20h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683756,1247152,2020,1,"January",5,"Friday","19h-20h"
"Accident involving animal(s)","Property damage",FALSE,FALSE,FALSE,"Principal road",2683004,1250451,2020,1,"January",5,"Friday","21h-22h"
"Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2685938,1250849,2020,1,"January",6,"Saturday","08h-09h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2679179,1249045,2020,1,"January",6,"Saturday","09h-10h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683803,1250936,2020,1,"January",6,"Saturday","13h-14h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2680560,1249775,2020,1,"January",6,"Saturday","14h-15h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684857,1252141,2020,1,"January",6,"Saturday","18h-19h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683288,1247643,2020,1,"January",6,"Saturday","22h-23h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683272,1246963,2020,1,"January",6,"Saturday","22h-23h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2684726,1246285,2020,1,"January",6,"Saturday","23h-00h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2682020,1246106,2020,1,"January",7,"Sunday","04h-05h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684245,1246171,2020,1,"January",7,"Sunday","09h-10h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2683029,1248759,2020,1,"January",7,"Sunday","11h-12h"
"Turning-into main road","Light injuries",FALSE,FALSE,FALSE,"Minor road",2681051,1246938,2020,1,"January",7,"Sunday","13h-14h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2682691,1247768,2020,1,"January",7,"Sunday","15h-16h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683166,1248945,2020,1,"January",7,"Sunday","17h-18h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2680231,1246973,2020,1,"January",7,"Sunday","19h-20h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683805,1247264,2020,1,"January",7,"Sunday","19h-20h"
